genes	logFC	FDR	fact	stage	dnds	avr_exp	avr_exp_f	avr_exp_m
TCM_02833	0.176492109	0.841314458	Not DE	hatch	NA	31.9834792	35.12718758	31.71438492
TCM_02834	-2.389815245	0.343500009	Not DE	hatch	NA	12.59535943	1.914174401	10.00394815
TCM_02836	0.105067848	0.925936767	Not DE	hatch	0.0453	50.17700512	59.34549874	57.36412774
TCM_02837	0.149011437	0.866802936	Not DE	hatch	NA	58.20335013	48.07892978	43.81762073
TCM_02838	0.508135394	0.762597062	Not DE	hatch	0.001	77.86507183	151.4632735	107.8401151
TCM_02839	0.37451471	0.882435489	Not DE	hatch	NA	1.708684836	4.160362377	3.276686249
TCM_02841	-0.307985484	0.753217537	Not DE	hatch	0.0506	56.66045632	51.94699782	65.19910561
TCM_02842	0.085413277	0.932134193	Not DE	hatch	0.1179	18.75563877	18.93978637	18.12907092
TCM_02843	-0.198814828	0.854381771	Not DE	hatch	NA	61.67947701	35.2794584	41.63976099
TCM_02844	0.066835641	0.989952099	Not DE	hatch	0.1505	386.7151718	642.3021687	663.7151823
TCM_02845	-0.090510138	0.943465429	Not DE	hatch	0.0341	55.53078831	59.78654609	65.88753934
TCM_02846	0.298330053	0.840250029	Not DE	hatch	0.0556	25.78062646	52.62494715	43.23282179
TCM_02847	0.120304815	0.949911764	Not DE	hatch	0.1141	2437.068926	1896.898666	1802.014575
TCM_02848	-0.209558633	0.892619356	Not DE	hatch	0.0746	1592.485697	1706.14381	2058.246174
TCM_02849	0.226003734	0.785178341	Not DE	hatch	0.091	112.4557264	143.4956077	125.5875814
TCM_02850	-0.377349484	0.817113127	Not DE	hatch	NA	5.782072076	8.538016877	11.40768922
TCM_02852	-0.530855007	0.742056986	Not DE	hatch	0.2874	0.574288929	1.030836481	1.49568118
TCM_02853	0.037500828	0.982603224	Not DE	hatch	0.1723	2.591538762	5.377516969	5.370601614
TCM_02854	-0.080342244	0.95330964	Not DE	hatch	0.148	69.8541371	34.04014932	37.13914765
TCM_02855	0.469187825	0.762597062	Not DE	hatch	NA	0.906275174	0.687107498	0.510398076
TCM_02856	0.19847296	0.876582892	Not DE	hatch	NA	18.87147754	23.59382568	21.04272134
TCM_02857	0.420864483	0.726135602	Not DE	hatch	NA	3.385531508	3.419590259	2.66477071
TCM_02858	0.486983126	0.713880268	Not DE	hatch	NA	6.005321439	8.152479319	5.826443436
TCM_02860	0.253587984	0.844406554	Not DE	hatch	NA	7.900081617	10.21676744	8.544489392
TCM_02861	-0.18385005	0.872178958	Not DE	hatch	0.0152	482.4644684	202.8428267	237.1802281
TCM_02862	-0.225145401	0.80661906	Not DE	hatch	0.1604	15.43862017	18.81537442	22.3671715
TCM_02863	-0.241329948	0.927593516	Not DE	hatch	NA	5.484422442	4.975660093	5.876923903
TCM_02864	-0.142717588	0.975541559	Not DE	hatch	NA	1.340236236	0.99167758	1.069713359
TCM_02865	-0.14167855	0.923992845	Not DE	hatch	0.3947	1038.412376	1398.50607	1584.4943
TCM_02866	0.084059942	0.958649396	Not DE	hatch	NA	68.17006397	92.66506781	90.08130884
TCM_02867	0.01948585	0.991659084	Not DE	hatch	0.5125	299.4891195	460.861554	470.1937174
TCM_02868	-0.60845072	0.787283102	Not DE	hatch	NA	0.555299506	0.43548732	0.664059044
TCM_02869	0.227370022	0.840250029	Not DE	hatch	0.6033	38.15483172	36.83967194	31.56417347
TCM_02870	-0.144697019	0.878357143	Not DE	hatch	0.2584	74.67434212	60.10032798	67.83372776
TCM_02871	0.007447533	0.996357127	Not DE	hatch	0.69	40.2115942	53.57120474	54.35277288
TCM_02872	0.089096384	0.923810884	Not DE	hatch	0.204	80.0919479	68.54699585	65.89394405
TCM_02873	-0.188760975	0.838462867	Not DE	hatch	0.1411	40.03863967	36.99189328	43.44839211
TCM_02875	-0.202957946	0.841324871	Not DE	hatch	NA	75.60444932	87.23978095	101.4473888
TCM_02876	0.215114582	0.753217537	Not DE	hatch	0.0466	104.049483	95.18952602	83.66937947
TCM_02878	-0.22001289	0.816119508	Not DE	hatch	NA	9.2478974	10.25052521	12.32241435
TCM_02879	0.059566745	0.961165392	Not DE	hatch	NA	157.1648046	184.8998684	182.8800441
TCM_02880	-0.014996244	0.995052869	Not DE	hatch	0.2333	177.6903659	126.9325036	129.6854589
TCM_02881	0.393335755	0.765854193	Not DE	hatch	NA	20.96331052	28.93363056	22.41201962
TCM_02882	0.210676023	0.840250029	Not DE	hatch	0.159	73.5748872	74.12453412	65.51377459
TCM_02883	0.169730685	0.903589433	Not DE	hatch	NA	13.12874398	12.81263359	11.63367924
TCM_02884	-0.017537658	0.993105084	Not DE	hatch	1.8459	30.44633035	31.17015304	32.42798121
TCM_02885	0.096302071	0.941043411	Not DE	hatch	NA	82.77157154	40.35989679	39.04773402
TCM_02886	-0.625599729	0.73173484	Not DE	hatch	NA	0.928208919	0.777070243	1.241888115
TCM_02887	-0.303185674	0.758902373	Not DE	hatch	0.0751	67.78709564	119.1718958	148.8825349
TCM_02888	0.121564224	0.931209861	Not DE	hatch	0.3615	33.38916032	35.94343427	33.24773467
TCM_02889	0.032236556	0.9940157	Not DE	hatch	NA	2.184179029	0.698877644	0.691870106
TCM_02890	0.036660758	0.97617263	Not DE	hatch	0.1268	17.07116799	22.81730487	22.87600083
TCM_02891	-0.317052958	0.913254546	Not DE	hatch	NA	5.211448986	0.825793418	1.051741189
TCM_02892	0.393862098	0.742056986	Not DE	hatch	NA	26.40192864	23.02513422	17.73391984
TCM_02893	0.358566776	0.742493739	Not DE	hatch	0.0689	129.6934521	156.164023	125.0650982
TCM_02894	0.078215668	0.950719536	Not DE	hatch	NA	38.13910925	47.45936644	45.53374411
TCM_02895	0.153728135	0.902047744	Not DE	hatch	NA	8.453656869	11.67488341	10.60483461
TCM_02896	-0.279138895	0.752913775	Not DE	hatch	0.0259	30.61861938	37.72039104	46.78051979
TCM_02897	0.645886265	0.665440658	Not DE	hatch	0.0451	17.90807577	8.986863247	5.730057623
TCM_02898	-0.347018514	0.726135602	Not DE	hatch	NA	8.35205158	14.32311989	18.6858321
TCM_02899	-0.781551127	0.715843186	Not DE	hatch	NA	0.245850511	0.300729611	0.51242406
TCM_02901	-0.567748917	0.790019405	Not DE	hatch	NA	0.266532403	0.441986864	0.677938989
TCM_02902	-0.350392889	0.88155272	Not DE	hatch	NA	10.0308699	4.820345107	6.123322558
TCM_02903	-0.510557565	0.77813012	Not DE	hatch	NA	31.56633805	18.99005952	27.52526482
TCM_02904	-0.039008218	0.974205536	Not DE	hatch	0.1693	70.58046821	49.00130484	51.50522988
TCM_02905	0.03480214	0.989952099	Not DE	hatch	0.3009	1.618096086	2.623055258	2.704672035
TCM_02906	0.016206101	0.995052869	Not DE	hatch	0.1173	190.5604241	259.8559681	264.2891332
TCM_02907	-0.187338718	0.910587633	Not DE	hatch	0.4311	11.16962012	14.95450097	17.57804685
TCM_02908	-0.215497171	0.865069946	Not DE	hatch	NA	81.86086163	77.18098636	91.69453935
TCM_02909	-0.03743505	0.980778588	Not DE	hatch	0.001	72.0430945	79.70952996	82.93809906
TCM_02910	-0.180503969	0.83093327	Not DE	hatch	0.0765	36.83471805	37.30153537	43.28160361
TCM_02911	-0.65766394	0.63734884	Not DE	hatch	NA	21.76210021	22.29344657	36.22050954
TCM_02913	-0.62379838	0.665440658	Not DE	hatch	NA	22.61813483	24.17500028	38.22030318
TCM_02914	-0.187632605	0.92274444	Not DE	hatch	NA	19.54156134	23.0090344	26.9676821
TCM_02915	0.054129337	0.972098316	Not DE	hatch	0.001	42.60732791	73.45614374	72.69261971
TCM_02916	0.709608158	0.630376321	Not DE	hatch	0.001	49.37444194	88.38840115	54.84656476
TCM_02917	-0.206548797	0.876781231	Not DE	hatch	0.3017	4.348006371	7.039664252	8.050991947
TCM_02918	-0.214042266	0.840250029	Not DE	hatch	0.2439	12.02279247	16.53232111	19.13401999
TCM_02919	-0.241461474	0.840250029	Not DE	hatch	NA	11.17101148	18.09051551	21.89344285
TCM_02920	-0.070490955	0.959340407	Not DE	hatch	NA	9.786603728	16.13641419	17.39989289
TCM_02921	0.238018745	0.799500629	Not DE	hatch	0.3143	27.09527304	25.74379309	22.1689027
TCM_02922	0.264463367	0.785178341	Not DE	hatch	0.1428	15.97999015	16.53520715	14.08447643
TCM_02923	-0.140590104	0.966323183	Not DE	hatch	0.3841	5.41055661	0.480791982	0.512341425
TCM_02924	-0.289694608	0.786011497	Not DE	hatch	0.2807	22.48100505	16.56326853	20.52135398
TCM_02925	0.021855516	0.991659084	Not DE	hatch	0.4062	8.592396245	9.013468229	8.997078728
TCM_02926	0.982104635	0.368005826	Not DE	hatch	0.2097	51.8605802	74.23479692	38.17903694
TCM_02927	0.361254938	0.640034592	Not DE	hatch	0.4656	134.7880591	134.1164573	107.4395862
TCM_02928	-0.211530641	0.884439809	Not DE	hatch	0.0403	12.15816756	16.288257	19.36034098
TCM_02929	0.298791045	0.856846741	Not DE	hatch	0.1785	142.3960913	212.2221151	178.9594377
TCM_02931	0.07816773	0.941995329	Not DE	hatch	0.001	606.314553	523.1899764	508.820879
TCM_02932	0.001395149	0.998989344	Not DE	hatch	NA	35.10255972	52.66368295	53.68779068
TCM_02933	-0.438114941	0.767966894	Not DE	hatch	0.001	3.422945114	4.930086459	6.869348444
TCM_02934	-0.447170891	0.793742794	Not DE	hatch	NA	1.687228705	1.354861733	1.902370965
TCM_02935	-0.074261097	0.947272021	Not DE	hatch	0.1783	18.1014794	15.01273419	15.9962927
TCM_02936	0.242375707	0.812465978	Not DE	hatch	NA	16.8830402	17.14670864	14.55071233
TCM_02937	0.107036267	0.940045456	Not DE	hatch	0.2115	55.77556078	78.55776832	74.24542797
TCM_02938	0.241489683	0.838462867	Not DE	hatch	NA	30.03203741	33.02225717	28.29440094
TCM_02939	-0.098743462	0.954924802	Not DE	hatch	0.3272	44.35426441	66.08823664	71.46984656
TCM_02940	-0.149977744	0.941302438	Not DE	hatch	NA	4.448439303	3.459294084	3.896899592
TCM_02941	0.91784764	0.840250029	Not DE	hatch	NA	0.840786167	1.125396495	0.609759889
TCM_02942	0.044410399	0.978315584	Not DE	hatch	0.2881	17.11939152	25.0533711	24.79619038
TCM_02944	0.392395687	0.816119508	Not DE	hatch	NA	1.632225501	3.77017307	2.969891526
TCM_02945	-0.29107842	0.840250029	Not DE	hatch	0.0901	21.06144736	15.88509862	20.18044262
TCM_02946	0.441487328	0.685800009	Not DE	hatch	NA	22.28521689	20.05528821	15.08846417
TCM_02947	-0.495444	0.745975294	Not DE	hatch	0.0492	7.632505922	6.788055169	9.710388902
TCM_02948	0.194337598	0.912233481	Not DE	hatch	NA	3.177767315	2.699619882	2.423032033
TCM_02949	0.125204218	0.948911046	Not DE	hatch	NA	36.2762351	48.25966557	45.713635
TCM_02950	0.218232618	0.860660744	Not DE	hatch	0.2192	11.22956356	14.37325548	12.62124738
TCM_02951	0.094387251	0.927593516	Not DE	hatch	0.001	512.9060943	688.0929592	663.5630398
TCM_02953	-0.015422635	0.995052869	Not DE	hatch	0.1466	18.25130174	14.58849869	15.21608521
TCM_02954	0.05959022	0.957105787	Not DE	hatch	0.5411	76.36961044	94.84253708	92.29692288
TCM_02955	0.413142637	0.695554841	Not DE	hatch	0.1163	10.19980751	12.69799967	9.664795037
TCM_02956	0.158786254	0.831320352	Not DE	hatch	0.1375	56.83362023	70.44814925	65.20889519
TCM_02957	0.232300795	0.887556226	Not DE	hatch	99	8.536543494	10.49204406	9.189106248
TCM_02958	-0.573306402	0.630376321	Not DE	hatch	0.0696	6.848765176	8.014095821	12.24497185
TCM_02959	-0.081262644	0.971742016	Not DE	hatch	NA	4.831510647	9.13706237	9.616276966
TCM_02960	0.448163396	0.665440658	Not DE	hatch	0.112	94.98527639	160.1101145	119.6846829
TCM_02961	0.23179283	0.763510233	Not DE	hatch	0.4381	54.15270311	71.69930522	62.930481
TCM_02962	0.200623929	0.909447249	Not DE	hatch	0.4231	8.70778639	15.08692232	13.38577236
TCM_02963	-0.178557815	0.892619356	Not DE	hatch	0.001	233.9213686	255.3831969	293.8359398
TCM_02964	0.072651185	0.948394133	Not DE	hatch	0.1272	64.41330824	67.8502547	66.28857354
TCM_02965	-0.222849025	0.882860981	Not DE	hatch	NA	5.928970901	3.72921576	4.383518521
TCM_02966	-0.299740686	0.77988398	Not DE	hatch	0.2369	3.848642878	2.949741903	3.743072949
TCM_02967	0.187066963	0.849048945	Not DE	hatch	NA	194.7998944	202.9678481	184.0083178
TCM_02968	0.138725285	0.946892416	Not DE	hatch	NA	2.801670868	1.085600369	1.04183437
TCM_02969	0.047146388	0.981259525	Not DE	hatch	0.0791	14.77510169	10.62762997	10.42040582
TCM_02970	-0.030806578	0.991204924	Not DE	hatch	0.0795	27.25528851	33.21845387	34.85290073
TCM_02971	-0.764642131	0.524875547	Not DE	hatch	0.0887	4.753198936	5.888981329	10.07014007
TCM_02972	0.098237536	0.947272021	Not DE	hatch	0.3233	71.34126227	66.64972396	63.59514
TCM_02973	0.151581676	0.885966195	Not DE	hatch	0.5124	23.33222292	21.72403695	20.27327625
TCM_02974	0.229073339	0.816119508	Not DE	hatch	NA	18.23961812	19.39511465	17.09543813
TCM_02975	0.41511689	0.640034592	Not DE	hatch	NA	77.44103355	78.59263933	61.1380409
TCM_02976	0.068175699	0.966481242	Not DE	hatch	NA	165.8411739	274.7832775	271.520361
TCM_02977	-0.065874729	0.966922146	Not DE	hatch	1.1745	57.11531218	50.50066154	52.99975157
TCM_02978	0.100656669	0.927593516	Not DE	hatch	0.3561	16.21811808	17.74913005	16.74411562
TCM_02979	0.495928627	0.713484274	Not DE	hatch	0.0429	42.99002322	72.18906688	52.26056309
TCM_02980	0.069175566	0.956603621	Not DE	hatch	NA	24.29884978	31.64962906	30.65540996
TCM_02981	0.361453353	0.839221456	Not DE	hatch	NA	1.022032514	1.318771417	1.026059193
TCM_02982	0.469459103	0.733795837	Not DE	hatch	NA	4.160927953	5.654917585	4.132447197
TCM_02983	0.14536241	0.892619356	Not DE	hatch	NA	163.6174817	243.778123	226.6414202
TCM_02984	0.362088729	0.815764275	Not DE	hatch	0.4044	1.343116921	2.658161239	2.13095994
TCM_02985	-0.317620831	0.840250029	Not DE	hatch	NA	3.504148143	3.109347003	3.938857078
TCM_02986	0.051990108	0.966926887	Not DE	hatch	0.05	37.65524857	31.98079719	31.63582588
TCM_02987	-0.125768434	0.93261327	Not DE	hatch	0.1516	3.102889642	3.330423507	3.745800553
TCM_02988	-0.106147731	0.925936767	Not DE	hatch	0.2189	26.62325912	26.99651046	29.84697248
TCM_02989	0.002922693	0.998989344	Not DE	hatch	0.6664	10.08746351	10.55583391	10.91942775
TCM_02990	-0.016506092	0.993928216	Not DE	hatch	0.0451	261.3382616	245.5418584	255.969073
TCM_02991	-0.18023101	0.909207433	Not DE	hatch	NA	5.015334861	5.28338318	6.199615226
TCM_02992	-0.357012114	0.787930154	Not DE	hatch	NA	2.808321866	3.009185679	4.033380766
TCM_02993	0.101660571	0.924584931	Not DE	hatch	1.4711	103.256038	143.0209531	135.0194297
TCM_02994	0.316461733	0.903589433	Not DE	hatch	NA	1.870943992	1.254879377	1.04726737
TCM_02995	0.149191094	0.91993392	Not DE	hatch	NA	7.738590545	6.680815419	6.309806008
TCM_02996	0.124458348	0.920631591	Not DE	hatch	NA	11.9726565	6.971985796	6.521774812
TCM_02997	0.061391406	0.946547352	Not DE	hatch	NA	155.6453752	131.4910264	128.8543103
TCM_02998	0.207889654	0.816929013	Not DE	hatch	0.8836	18.3258565	19.50739677	17.03054041
TCM_02999	0.207984211	0.764899199	Not DE	hatch	0.2943	99.57320929	72.19132069	63.62866861
TCM_03000	0.111748719	0.924718667	Not DE	hatch	NA	72.8867567	87.00851053	80.83868124
TCM_03001	-0.586735372	0.828758124	Not DE	hatch	NA	0.802271228	0.791321389	1.138866527
TCM_03002	0.179942628	0.909772914	Not DE	hatch	NA	5.390194666	7.049830406	6.272567449
TCM_03003	0.069344215	0.972505564	Not DE	hatch	0.2993	5.416360356	6.31962525	6.094757249
TCM_03004	0.177104112	0.840250029	Not DE	hatch	0.0133	10.51208746	18.23834549	16.43410861
TCM_03005	-0.268382479	0.786011497	Not DE	hatch	NA	33.11516804	31.16726476	38.6017796
TCM_03006	0.362150636	0.812465978	Not DE	hatch	NA	50.54756101	93.02124854	74.78518707
TCM_03008	0.082492188	0.96904883	Not DE	hatch	0.1825	4.348607914	3.307040843	3.215760242
TCM_03009	-0.168367428	0.885966195	Not DE	hatch	0.1073	28.78968106	24.51992933	28.48589885
TCM_03010	-0.048749985	0.958649396	Not DE	hatch	NA	67.72286714	98.9486873	103.9537626
TCM_03011	-0.505771402	0.726135602	Not DE	hatch	NA	2.608548387	2.196957498	3.244371537
TCM_03012	-0.39193762	0.753217537	Not DE	hatch	0.2131	18.15716313	10.86655546	14.77691099
TCM_03013	0.168512072	0.821380053	Not DE	hatch	0.0752	62.51747267	75.34903495	68.81300363
TCM_03015	-0.057289726	0.966922146	Not DE	hatch	0.001	26.20192427	24.9218808	26.34406677
TCM_03016	0.146955552	0.881012761	Not DE	hatch	NA	8.700013982	11.85485556	10.82136286
TCM_03017	0.070813921	0.940045456	Not DE	hatch	0.048	41.05721563	57.45435408	55.54936021
TCM_03018	0.039379328	0.976515359	Not DE	hatch	0.0644	25.76449951	35.39734689	34.82555344
TCM_03019	-0.117592956	0.929800565	Not DE	hatch	NA	16.18688793	11.23263186	12.62517217
TCM_03020	-0.803182534	0.686724759	Not DE	hatch	NA	0.660975152	0.395741603	0.692135816
TCM_03021	-0.040007394	0.987484083	Not DE	hatch	NA	8.471710384	7.282177253	7.774755124
TCM_03022	0.323314369	0.80661906	Not DE	hatch	0.0402	2.030731184	3.107974048	2.546387181
TCM_03023	0.980254666	0.545357389	Not DE	hatch	NA	6.544744657	4.511892313	2.290138173
TCM_03024	0.19312585	0.785178341	Not DE	hatch	0.1341	47.29483441	57.2205641	51.32003446
TCM_03025	-0.035312722	0.990993674	Not DE	hatch	0.001	7.566609035	10.87910964	11.05183538
TCM_03026	-0.111100557	0.971209578	Not DE	hatch	NA	2.959614739	3.730672512	4.246084131
TCM_03028	0.126705835	0.951211295	Not DE	hatch	NA	34.99009604	53.12262153	50.19156913
TCM_03029	-0.183957708	0.897967472	Not DE	hatch	NA	26.8842633	30.96602104	35.52091673
TCM_03030	-0.085294085	0.927593516	Not DE	hatch	0.0161	73.08729881	86.7120675	93.9843799
TCM_03031	-0.14853237	0.95330964	Not DE	hatch	NA	13.51035293	13.69663293	15.98763263
TCM_03032	0.142073136	0.940499386	Not DE	hatch	NA	20.06694343	39.89428344	36.66846755
TCM_03033	-0.342371523	0.86062508	Not DE	hatch	0.001	3.178367816	1.182382481	1.542901939
TCM_03034	0.042465889	0.983127792	Not DE	hatch	0.001	542.2846052	594.8097918	597.5024456
TCM_03035	0.139727831	0.913254546	Not DE	hatch	0.0574	21.82358436	20.12333902	18.74501892
TCM_03036	-0.179384666	0.958649396	Not DE	hatch	0.001	0.706096157	0.854800875	0.9804681
TCM_03037	0.194454027	0.868944132	Not DE	hatch	NA	40.85520702	28.6921112	25.20957672
TCM_03038	0.359917868	0.790973436	Not DE	hatch	0.0897	6.981175209	15.69934978	12.50212694
TCM_03039	0.261045229	0.824950823	Not DE	hatch	0.1192	32.86515864	31.57230119	26.42373348
TCM_03040	0.026486984	0.988078086	Not DE	hatch	0.0754	21.32838234	31.96576394	31.80696025
TCM_03041	0.047012783	0.963805696	Not DE	hatch	0.0458	49.39030957	53.87574318	53.44227482
TCM_03042	0.393930722	0.640034592	Not DE	hatch	NA	176.3378183	186.580094	143.6509225
TCM_03043	-0.332851198	0.756309119	Not DE	hatch	NA	5.439492674	6.992741527	8.953450387
TCM_03044	0.300986119	0.760377845	Not DE	hatch	0.0864	292.7193605	386.3734584	323.3075999
TCM_03045	-0.005130367	0.997694142	Not DE	hatch	0.001	13.12471632	23.37865414	24.07136976
TCM_03046	-0.448551809	0.758902373	Not DE	hatch	NA	13.783755	22.48287784	31.30989847
TCM_03047	-0.125124093	0.963324741	Not DE	hatch	0.001	4.251041166	3.620198784	4.002864985
TCM_03048	0.31838185	0.920631591	Not DE	hatch	3.1845	1.015450753	1.21924363	0.947480412
TCM_03049	-0.101086832	0.946892416	Not DE	hatch	0.4745	28.80728667	28.6231217	32.35678452
TCM_03051	0.386704952	0.789188541	Not DE	hatch	0.2261	223.056926	230.9309508	180.5150017
TCM_03052	0.303474029	0.762597062	Not DE	hatch	0.3095	32.3485748	45.59356126	37.15960912
TCM_03053	-0.140658074	0.913270339	Not DE	hatch	0.1953	61.19382379	43.55116003	49.04701294
TCM_03054	0.034984693	0.987206755	Not DE	hatch	NA	968.4685405	789.9801226	795.4173825
TCM_03056	0.518635355	0.63545065	Not DE	hatch	0.2023	65.64883065	102.2990482	73.58212996
TCM_03057	0.244537849	0.838462867	Not DE	hatch	0.001	10.67135876	8.307393347	7.079776776
TCM_03058	0.283193767	0.854381771	Not DE	hatch	0.0219	626.6585328	273.5742635	232.9587831
TCM_03059	0.898810815	0.640034592	Not DE	hatch	NA	1.721110542	1.052106772	0.559076318
TCM_03060	-0.289652424	0.862611702	Not DE	hatch	0.119	35.02965429	43.14888789	52.43751993
TCM_03061	0.233802594	0.805290957	Not DE	hatch	NA	46.2278805	60.21982404	52.12019742
TCM_03062	0.253699819	0.753217537	Not DE	hatch	0.001	513.9479488	664.9845983	562.1867379
TCM_03063	0.352783878	0.735224303	Not DE	hatch	NA	189.9442351	270.7464401	210.6181415
TCM_03064	0.461543133	0.726135602	Not DE	hatch	NA	29.69031762	55.5147401	41.00201717
TCM_03065	-0.402873313	0.741747683	Not DE	hatch	NA	2.353071776	2.037516742	2.729420142
TCM_03066	-0.489125946	0.665440658	Not DE	hatch	NA	6.138899404	7.983799368	11.20348415
TCM_03067	-0.029879051	0.98577409	Not DE	hatch	0.228	40.41903453	40.31005899	41.71955298
TCM_03068	0.308890627	0.665440658	Not DE	hatch	0.1028	46.86877743	53.93568289	44.55343335
TCM_03069	-0.796447009	0.640034592	Not DE	hatch	0.0321	3.368441265	3.624433665	6.320969979
TCM_03071	-1.000946154	0.768374773	Not DE	hatch	0.0451	71.90449603	7.419239336	14.12474037
TCM_03072	-0.336089201	0.829620957	Not DE	hatch	0.3372	10.1286594	5.192376147	6.584147398
TCM_03073	0.076290431	0.949911764	Not DE	hatch	0.036	97.1778975	94.88438386	92.40639895
TCM_03075	-0.321817948	0.805290957	Not DE	hatch	0.1887	4.270948147	3.64471254	4.59199239
TCM_03076	-0.406401749	0.768374773	Not DE	hatch	NA	2.520769378	2.109606548	2.8957205
TCM_03077	-0.152997589	0.891705824	Not DE	hatch	NA	47.30915608	46.16106755	52.93726932
TCM_03078	0.6032007	0.695554841	Not DE	hatch	NA	5.561120529	6.81808255	4.575125434
TCM_03079	0.440613727	0.640034592	Not DE	hatch	0.4586	13.61666787	15.8778342	11.90073157
TCM_03080	0.053198716	0.966922146	Not DE	hatch	0.0665	11.53666525	10.94450974	10.73631756
TCM_03081	-0.274500501	0.751588038	Not DE	hatch	0.0438	13.16180624	16.98707049	20.82063809
TCM_03082	0.56127667	0.762597062	Not DE	hatch	0.2417	6.083117572	6.20703985	4.129498352
TCM_03083	0.499129299	0.665440658	Not DE	hatch	0.1879	22.27238618	21.54116449	15.43684471
TCM_03084	-0.346784357	0.899997291	Not DE	hatch	NA	80.29635827	111.1198485	139.8005184
TCM_03085	-0.568979221	0.695554841	Not DE	hatch	NA	7.101073707	10.36065009	15.55431541
TCM_03086	-0.190633844	0.913254546	Not DE	hatch	0.2244	42.41659441	65.62342225	75.85212599
TCM_03087	0.320945748	0.713484274	Not DE	hatch	NA	63.96303828	80.76916549	64.86863033
TCM_03088	0.358289884	0.712342971	Not DE	hatch	NA	15.37823355	20.56131798	16.58343773
TCM_03089	0.306636316	0.686724759	Not DE	hatch	0.001	45.51421286	42.83977142	35.17714694
TCM_03090	-0.186640676	0.885966195	Not DE	hatch	0.001	2.980581473	4.095026783	4.773349723
TCM_03091	0.310152111	0.724973685	Not DE	hatch	0.2693	46.80043869	47.14292759	38.7348091
TCM_03092	0.118031546	0.902805473	Not DE	hatch	0.1038	29.52022959	28.45734197	26.58637542
TCM_03093	0.366656416	0.767024178	Not DE	hatch	0.2152	21.7880989	19.70294621	15.35563145
TCM_03094	0.31662177	0.707984048	Not DE	hatch	0.204	44.87325299	56.59951979	46.50758114
TCM_03095	-0.36221673	0.796937989	Not DE	hatch	0.3308	13.55196859	4.606320989	5.898730653
TCM_03097	-0.030928791	0.98889918	Not DE	hatch	0.1116	19.43996792	18.74095721	19.68408994
TCM_03098	0.122030601	0.913270339	Not DE	hatch	NA	37.01712875	50.79944224	47.23865256
TCM_03100	0.284810866	0.74197191	Not DE	hatch	0.4671	38.27136012	46.34913061	38.29283156
TCM_03101	0.256009144	0.802025588	Not DE	hatch	0.0441	76.60165519	89.62044765	75.54212142
TCM_03102	-0.015932559	0.995052869	Not DE	hatch	NA	196.812762	191.2945816	197.7890258
TCM_03103	0.156131589	0.919262952	Not DE	hatch	NA	13.03682828	8.516795139	7.650593328
TCM_03104	0.0855717	0.958649396	Not DE	hatch	NA	1286.620288	959.7757902	939.8532723
TCM_03105	0.148118183	0.958086607	Not DE	hatch	NA	2.63870443	2.748191639	2.514195248
TCM_03106	0.198701071	0.882860981	Not DE	hatch	0.347	48.70177318	59.64695603	52.09496332
TCM_03107	0.114184955	0.929031962	Not DE	hatch	0.1703	25.90690822	41.04856126	37.92699281
TCM_03108	0.102031613	0.903589433	Not DE	hatch	0.001	114.2853838	111.9964049	106.4120028
TCM_03110	-0.065058636	0.956692043	Not DE	hatch	0.295	11.12041821	14.83026325	15.73037979
TCM_03111	0.403413959	0.665440658	Not DE	hatch	0.3015	85.84259968	113.3079912	87.89178403
TCM_03112	-0.379204183	0.726135602	Not DE	hatch	0.1703	11.13557019	13.15561102	17.33813462
TCM_03113	-0.118725637	0.914092773	Not DE	hatch	NA	36.88600754	39.67688851	44.16799921
TCM_03114	0.148320804	0.892619356	Not DE	hatch	0.1883	16.19797064	17.00720576	15.73128468
TCM_03115	0.415873761	0.713564941	Not DE	hatch	0.4942	67.32075344	63.10804007	48.03889433
TCM_03116	0.485824138	0.782098253	Not DE	hatch	NA	2.438514028	1.447046748	1.063854415
TCM_03117	-0.544660048	0.659068561	Not DE	hatch	0.6078	35.03867896	42.37785356	61.49356728
TCM_03118	0.38993052	0.754056769	Not DE	hatch	0.001	19.32266737	18.94331578	14.8088653
TCM_03119	-0.19883449	0.879265522	Not DE	hatch	0.0684	4.51112587	7.165917093	8.2697555
TCM_03121	-0.009845235	0.995571239	Not DE	hatch	0.0682	62.8978983	67.37463316	70.2470533
TCM_03122	0.226710636	0.823431246	Not DE	hatch	NA	27.87405725	41.92231922	36.45343595
TCM_03123	-0.002198444	0.998989344	Not DE	hatch	NA	11.35310295	14.93263277	15.52858905
TCM_03124	0.130573419	0.903589433	Not DE	hatch	0.0769	42.88761366	58.78203817	54.68734497
TCM_03142	0.068864419	0.950719536	Not DE	hatch	0.0536	207.8898542	277.3031332	270.6836707
TCM_03143	0.931312117	0.749363352	Not DE	hatch	NA	7.650298459	18.1404233	9.57343695
TCM_03144	0.089675709	0.937281731	Not DE	hatch	0.029	24.40052546	28.32583384	27.00968877
TCM_03145	-0.022375648	0.994169171	Not DE	hatch	0.0909	9.185770181	10.85498241	11.2903112
TCM_03146	-0.068883993	0.958649396	Not DE	hatch	NA	1225.811809	1650.326323	1794.8893
TCM_03147	0.115968896	0.958649396	Not DE	hatch	0.1197	1.605833172	1.854095992	1.736670757
